vehicle_id,vehicle_type,plate_number,capacity_kg,status
25369,???,DL01ZA5647,32.0,ACTIVE
9993,VAN,RJ10ZE6363,156.0,ACTIVE
16504,SCOOTER,RJ25JE9339,17.0,INACTIVE
17847,SCOOTER,DL01VF5033,18.0,MAINTENANCE
25675,TRUCK,DL07FT1413,708.0,MAINTENANCE
14951,BIKE,DL02HN4015,10.0,MAINTENANCE
28945,BIKE,DL06EM4096,19.0,MAINTENANCE
26572,SCOOTER,DL04AI9625,,ACTIVE
2919,,RJ24SH8025,26.0,MAINTENANCE
5658,TRUCK,DL02GC7235,1373.0,INACTIVE
20949,SCOOTER,DL06QZ8841,34.0,ACTIVE
6290,SCOOTER,DL01MD5045,33.0,ACTIVE
16362,TRUCK,DL07VV2917,1592.0,ACTIVE
12484,BIKE,RJ22FW8236,15.0,ACTIVE
9684,TRUCK,RJ21PN7615,1030.0,INACTIVE
13703,SCOOTER,DL03TC8438,36.0,ACTIVE
5387,SCOOTER,RJ33XC9860,15.0,INACTIVE
5228,VAN,RJ28BI2243,424.0,ACTIVE
19852,BIKE,DL08YM1535,29.0,ACTIVE
5983,BIKE,RJ16XS1903,24.0,ACTIVE
17438,VAN,RJ34BL6319,323.0,ACTIVE
29611,SCOOTER,DL06MM1496,28.0,ACTIVE
27821,BIKE,RJ25ZT6503,17.0,ACTIVE
29870,SCOOTER,RJ36QD2097,39.0,ACTIVE
27960,BIKE,DL05XK1405,16.0,ACTIVE
22623,BIKE,DL02UB8629,13.0,ACTIVE
27348,BIKE,DL06HH3320,23.0,INACTIVE
20141,VAN,RJ13DZ2206,246.0,INACTIVE
2901,,DL09YI8589,19.0,ACTIVE
6135,BIKE,DL08EH2778,27.0,ACTIVE
19866,SCOOTER,RJ12OX1574,24.0,ACTIVE
10139,BIKE,RJ30KX5267,15.0,ACTIVE
24493,SCOOTER,DL04VJ7394,36.0,INACTIVE
22942,SCOOTER,DL09IC2592,19.0,ACTIVE
3663,SCOOTER,DL07GX7765,,ACTIVE
26359,SCOOTER,RJ39WA3105,24.0,INACTIVE
3028,BIKE,RJ26LZ6430,14.0,ACTIVE
6025,BIKE,DL07VX8390,10.0,INACTIVE
7496,TRUCK,DL02PC7019,1362.0,ACTIVE
13801,SCOOTER,INVALID,9999.0,ACTIVE
3428,SCOOTER,DL04VJ7394,30.0,ACTIVE
29265,BIKE,RJ24UB1744,12.0,ACTIVE
1228,TRUCK,RJ14TS4190,1761.0,ACTIVE
6363,TRUCK,123,893.0,ACTIVE
16988,BIKE,DL02PY9577,11.0,INACTIVE
11457,BIKE,DL03ZL5782,13.0,INACTIVE
23301,TRUCK,DL05MC6576,1494.0,INACTIVE
24983,SCOOTER,RJ25RU4542,31.0,INACTIVE
2533,BIKE,RJ24KF4749,26.0,ACTIVE
24967,UNKNOWN,RJ15YC5337,11.0,ACTIVE
16071,BIKE,INVALID,23.0,ACTIVE
24436,SCOOTER,DL03HM8962,,ACTIVE
7614,BIKE,DL09TC8377,27.0,MAINTENANCE
4321,VAN,RJ30HU8531,258.0,ACTIVE
6910,SCOOTER,RJ25CA4586,38.0,INACTIVE
267,VAN,RJ35LH1194,336.0,ACTIVE
9316,VAN,RJ28AJ4930,368.0,ACTIVE
24860,SCOOTER,DL06KG9309,18.0,ACTIVE
18423,BIKE,DL06HF2528,25.0,ACTIVE
11698,VAN,RJ35AR1982,220.0,INACTIVE
20242,SCOOTER,DL04XV9176,38.0,ACTIVE
2458,TRUCK,DL08WI3899,872.0,ACTIVE
15994,VAN,RJ14JQ9878,343.0,ACTIVE
26203,BIKE,DL06KG1316,23.0,MAINTENANCE
5865,SCOOTER,RJ19IY2294,37.0,MAINTENANCE
6217,SCOOTER,RJ15SN6703,16.0,MAINTENANCE
13245,BIKE,DL03HH7071,29.0,INACTIVE
4903,BIKE,RJ19EG1223,21.0,INACTIVE
18761,TRUCK,RJ35CQ4460,1242.0,MAINTENANCE
29383,SCOOTER,DL02GH2215,17.0,ACTIVE
23262,BIKE,RJ11GO1589,25.0,ACTIVE
15876,BIKE,DL01ZU8699,14.0,INACTIVE
26443,SCOOTER,DL02VO9330,19.0,ACTIVE
26868,VAN,RJ11BW8577,137.0,ACTIVE
19565,BIKE,DL02FG9151,20.0,ACTIVE
5383,VAN,DL04NR8494,341.0,ACTIVE
29164,SCOOTER,RJ19EG9163,31.0,ACTIVE
24986,BIKE,DL04SC6719,22.0,ACTIVE
11032,SCOOTER,DL04OE4467,29.0,
8736,SCOOTER,RJ25JE9339,36.0,ACTIVE
27240,SCOOTER,DL05LG2132,25.0,ACTIVE
6435,SCOOTER,DL02BJ7049,30.0,ACTIVE
21434,VAN,RJ25ZT6503,155.0,ACTIVE
21855,VAN,RJ12WK5825,124.0,ACTIVE
2169,SCOOTER,DL06WE3883,19.0,MAINTENANCE
21996,,RJ32PB4530,123.0,ACTIVE
22562,,DL08DZ6881,18.0,INACTIVE
24445,TRUCK,DL09PK2848,1711.0,ACTIVE
21687,BIKE,RJ28EQ4721,12.0,MAINTENANCE
14577,TRUCK,DL03MN5442,1952.0,ACTIVE
13726,SCOOTER,RJ23UZ8155,27.0,ACTIVE
4707,BIKE,DL05LW4476,21.0,INACTIVE
4297,SCOOTER,RJ33ND9924,17.0,MAINTENANCE
28951,VAN,RJ28UT2210,9999.0,ACTIVE
23586,TRUCK,DL06DX8161,,ACTIVE
3726,UNKNOWN,RJ14QE3458,168.0,ACTIVE
20373,TRUCK,RJ35SV8540,677.0,ACTIVE
6401,SCOOTER,RJ26ZP6261,26.0,ACTIVE
5659,VAN,123,339.0,ACTIVE
28302,,RJ14YK5340,401.0,ACTIVE
9677,BIKE,RJ29QB7756,23.0,ACTIVE
26623,VAN,RJ37WZ9212,389.0,ACTIVE
1044,VAN,DL07OQ8528,349.0,INACTIVE
822,VAN,DL06YW9793,149.0,ACTIVE
13956,,RJ18RX1325,23.0,ACTIVE
14085,TRUCK,DL05WJ9988,1437.0,INACTIVE
13283,BIKE,RJ19EY2329,16.0,ACTIVE
7485,SCOOTER,RJ10HC7388,23.0,INACTIVE
25884,BIKE,RJ34BL6319,29.0,INACTIVE
18716,BIKE,DL09GO7867,24.0,
28789,SCOOTER,DL09TD1646,39.0,INACTIVE
27501,BIKE,DL07LJ1646,26.0,ACTIVE
26952,SCOOTER,DL06DX8161,33.0,
20217,BIKE,RJ25HY9322,20.0,MAINTENANCE
29059,SCOOTER,RJ12UQ1763,17.0,ACTIVE
26022,BIKE,RJ27BK2240,24.0,MAINTENANCE
29884,SCOOTER,123,38.0,INACTIVE
13590,SCOOTER,RJ15OY9424,39.0,ACTIVE
17992,TRUCK,RJ28AJ4930,1966.0,ACTIVE
27034,BIKE,DL09MU4236,17.0,ACTIVE
20549,TRUCK,DL04RP2470,866.0,ACTIVE
29551,TRUCK,RJ17QL9464,736.0,ACTIVE
2904,VAN,DL07VV2917,301.0,ACTIVE
28008,SCOOTER,DL01CL6575,39.0,MAINTENANCE
3777,VAN,DL04EQ3886,359.0,MAINTENANCE
15479,SCOOTER,RJ32PB4530,23.0,INACTIVE
20538,BIKE,RJ26LZ6430,13.0,ACTIVE
12690,VAN,RJ18GZ7713,327.0,ACTIVE
8185,BIKE,RJ24XF5471,10.0,MAINTENANCE
5041,BIKE,DL09EK6639,24.0,MAINTENANCE
29527,UNKNOWN,DL09AL2981,39.0,ACTIVE
29218,VAN,RJ22UN9987,105.0,INACTIVE
22503,SCOOTER,RJ28GI4307,33.0,INACTIVE
3185,VAN,DL07CT1966,,INACTIVE
5909,VAN,DL04IS4673,333.0,INACTIVE
14652,BIKE,DL06NS9162,16.0,INACTIVE
17732,SCOOTER,RJ30UT2751,29.0,ACTIVE
1792,BIKE,DL04VJ7394,15.0,ACTIVE
1531,VAN,RJ31DY9628,478.0,ACTIVE
24120,SCOOTER,XXX000,35.0,ACTIVE
3257,BIKE,DL02XO8223,10.0,MAINTENANCE
211,BIKE,RJ27UQ6781,27.0,MAINTENANCE
3190,BIKE,RJ23SK2557,19.0,ACTIVE
1669,BIKE,DL06FM6904,24.0,ACTIVE
25619,BIKE,DL05DR3889,19.0,ACTIVE
3109,VAN,RJ28EQ4721,193.0,ACTIVE
12241,SCOOTER,RJ36UZ8698,28.0,INACTIVE
4814,SCOOTER,DL08FH9780,35.0,ACTIVE
17688,UNKNOWN,RJ14QV1952,34.0,INACTIVE
8506,SCOOTER,RJ11FH3792,38.0,ACTIVE
5415,VAN,RJ25GF3902,172.0,INACTIVE
9200,TRUCK,RJ21GO3927,1879.0,MAINTENANCE
9474,VAN,DL04QV4006,9999.0,
24519,SCOOTER,DL05PW4555,26.0,ACTIVE
8011,BIKE,DL01ZC5740,26.0,ACTIVE
12114,BIKE,DL03OK5890,20.0,ACTIVE
11506,VAN,RJ39HJ9072,177.0,ACTIVE
27022,UNKNOWN,DL05NK8012,19.0,MAINTENANCE
21480,SCOOTER,DL05UD8551,39.0,ACTIVE
24164,TRUCK,RJ31DT4771,1624.0,ACTIVE
7404,SCOOTER,RJ11IA9593,17.0,ACTIVE
25310,BIKE,DL06ZM8950,27.0,ACTIVE
4581,SCOOTER,DL02IK6773,35.0,ACTIVE
9277,SCOOTER,RJ31BL6350,17.0,ACTIVE
23006,SCOOTER,DL08RY9644,38.0,ACTIVE
28002,BIKE,RJ38PP3853,14.0,ACTIVE
24701,VAN,RJ25CA4586,312.0,ACTIVE
9527,TRUCK,DL02WY9779,516.0,ACTIVE
11718,VAN,DL09HG7611,195.0,ACTIVE
3442,SCOOTER,RJ12WL2396,19.0,ACTIVE
23336,SCOOTER,RJ28CT4741,28.0,MAINTENANCE
23228,BIKE,DL03HM8962,12.0,
24381,BIKE,RJ26UY6128,18.0,ACTIVE
9935,SCOOTER,DL07GX7765,39.0,ACTIVE
3397,VAN,DL05NA5573,349.0,ACTIVE
1661,SCOOTER,DL04QV4006,24.0,INACTIVE
10905,BIKE,DL02LJ1323,11.0,ACTIVE
15618,VAN,RJ28PH1205,485.0,ACTIVE
10204,BIKE,RJ31BF2571,13.0,ACTIVE
29689,SCOOTER,RJ25HY9322,34.0,ACTIVE
20533,SCOOTER,RJ24MX2355,24.0,ACTIVE
11579,BIKE,RJ10CG3192,14.0,INACTIVE
3411,BIKE,DL08WA6303,13.0,ACTIVE
15268,SCOOTER,DL07GU8577,25.0,ACTIVE
492,SCOOTER,RJ38LE8493,36.0,MAINTENANCE
21508,SCOOTER,DL05SZ4501,17.0,ACTIVE
13982,,RJ17DU2293,112.0,INACTIVE
27991,BIKE,DL06VJ9489,20.0,MAINTENANCE
12333,SCOOTER,RJ35AT4117,33.0,INACTIVE
3548,,RJ15YC5337,1728.0,ACTIVE
5406,SCOOTER,DL09OD7477,-10.0,ACTIVE
15948,SCOOTER,RJ29IV1702,32.0,ACTIVE
21280,BIKE,RJ25BB6546,29.0,ACTIVE
17352,BIKE,RJ39VE1163,14.0,ACTIVE
20037,VAN,DL09IC2592,156.0,ACTIVE
1636,VAN,RJ25QL2464,-10.0,INACTIVE
4169,,RJ33XC9860,1631.0,ACTIVE
10942,TRUCK,RJ17QL9464,1489.0,ACTIVE
424,SCOOTER,RJ37WZ9212,-10.0,INACTIVE
28534,VAN,RJ22DH8653,126.0,ACTIVE
4700,UNKNOWN,RJ32HW4340,26.0,ACTIVE
18090,BIKE,RJ34DL2113,22.0,ACTIVE
4580,BIKE,RJ26LL3044,18.0,ACTIVE
6603,,DL03YT8536,171.0,ACTIVE
8562,TRUCK,RJ17QL9464,681.0,ACTIVE
27344,VAN,DL03VO5849,,ACTIVE
20169,VAN,DL06DX8161,,ACTIVE
19898,BIKE,RJ26UM8569,24.0,ACTIVE
19974,SCOOTER,RJ19CP9243,26.0,INACTIVE
28985,SCOOTER,DL08PQ9448,27.0,ACTIVE
14813,BIKE,DL08QA9927,26.0,INACTIVE
29802,SCOOTER,RJ12CL9122,16.0,INACTIVE
22687,SCOOTER,INVALID,35.0,ACTIVE
20884,BIKE,RJ28YK2085,25.0,INACTIVE
5854,BIKE,DL06ZA5220,-10.0,INACTIVE
5027,SCOOTER,DL02IL6076,25.0,ACTIVE
21868,BIKE,RJ10HN9265,27.0,ACTIVE
4784,???,RJ37ZY6003,158.0,ACTIVE
5837,BIKE,RJ13DZ2206,10.0,ACTIVE
13460,SCOOTER,DL03LE4822,35.0,MAINTENANCE
20153,VAN,RJ38WM6872,107.0,ACTIVE
274,TRUCK,DL02KD2065,1727.0,MAINTENANCE
29064,SCOOTER,DL01VY2401,32.0,MAINTENANCE
29786,VAN,RJ12YO4940,145.0,ACTIVE
25878,TRUCK,DL01XV8304,1768.0,INACTIVE
19081,VAN,DL02WY9779,141.0,ACTIVE
8293,SCOOTER,DL08GK9213,28.0,ACTIVE
22274,TRUCK,123,863.0,ACTIVE
20842,TRUCK,DL05KL6112,561.0,ACTIVE
5423,SCOOTER,DL06UP4404,30.0,ACTIVE
23279,VAN,RJ11ML3334,249.0,ACTIVE
6759,TRUCK,DL02XE3828,1400.0,INACTIVE
5512,SCOOTER,RJ39LG5644,16.0,INACTIVE
6317,SCOOTER,DL05AO4600,34.0,INACTIVE
27221,BIKE,DL03OK5890,25.0,INACTIVE
5211,BIKE,RJ25BB6546,21.0,ACTIVE
26745,TRUCK,DL01AI2417,500.0,INACTIVE
3032,BIKE,RJ15SN6703,17.0,ACTIVE
26321,BIKE,RJ18ML5767,10.0,INACTIVE
20002,BIKE,DL09LL6740,-10.0,MAINTENANCE
18237,,RJ38DM7266,12.0,INACTIVE
11962,BIKE,RJ37XP2489,29.0,ACTIVE
429,SCOOTER,RJ13HG6934,29.0,ACTIVE
20052,BIKE,RJ33JN3829,28.0,ACTIVE
6245,BIKE,RJ17AY1149,16.0,ACTIVE
1256,BIKE,RJ25JT3947,14.0,ACTIVE
28227,VAN,RJ15EJ8867,155.0,INACTIVE
6664,BIKE,DL02JC1815,16.0,ACTIVE
6626,TRUCK,RJ10IX6472,1079.0,INACTIVE
22370,BIKE,DL05PW4555,10.0,ACTIVE
3877,SCOOTER,RJ26AH5079,38.0,ACTIVE
4597,BIKE,RJ22MQ8062,12.0,ACTIVE
24962,VAN,RJ21OY2869,459.0,ACTIVE
18474,BIKE,DL04TO3318,17.0,INACTIVE
26349,VAN,DL02NO6729,482.0,INACTIVE
8241,SCOOTER,DL05XI5441,31.0,ACTIVE
22096,VAN,RJ19ZG4703,299.0,MAINTENANCE
16773,VAN,DL09TG7862,356.0,MAINTENANCE
23083,SCOOTER,RJ32IG9372,27.0,ACTIVE
25787,SCOOTER,RJ27MW5782,24.0,MAINTENANCE
3589,BIKE,DL08TF3768,18.0,MAINTENANCE
5437,VAN,RJ36IY8599,306.0,INACTIVE
23078,,DL09XP8185,12.0,ACTIVE
21158,TRUCK,DL06NS9162,,ACTIVE
6814,TRUCK,DL09JW6085,-1.0,MAINTENANCE
17179,SCOOTER,DL03HH7071,25.0,ACTIVE
8603,BIKE,DL09DP8115,,ACTIVE
6165,VAN,DL02AO2607,371.0,INACTIVE
21228,TRUCK,RJ22QZ4705,704.0,
10009,SCOOTER,DL05HC6569,19.0,ACTIVE
25752,BIKE,DL07GX7765,10.0,ACTIVE
2534,SCOOTER,DL06QA8803,34.0,INACTIVE
24338,VAN,DL04YS4296,191.0,ACTIVE
23949,TRUCK,DL08OS5407,1575.0,
3173,TRUCK,RJ35AR1982,1441.0,ACTIVE
21106,BIKE,RJ32NM2473,18.0,MAINTENANCE
1332,BIKE,RJ22CV8611,,MAINTENANCE
17293,BIKE,RJ39PS5439,13.0,ACTIVE
10169,SCOOTER,RJ18TS9849,16.0,ACTIVE
16306,SCOOTER,DL04JE2587,19.0,ACTIVE
21851,BIKE,RJ39TQ4118,28.0,ACTIVE
21850,SCOOTER,DL02XQ3872,21.0,INACTIVE
2407,,DL05TP2154,24.0,ACTIVE
21306,VAN,RJ29JK5652,281.0,INACTIVE
4970,BIKE,DL06RV1594,12.0,MAINTENANCE
9953,UNKNOWN,RJ34BC3525,30.0,ACTIVE
24065,BIKE,RJ36UZ8698,13.0,ACTIVE
15206,BIKE,DL02FX5669,27.0,ACTIVE
15096,BIKE,123,21.0,INACTIVE
21832,SCOOTER,DL08IV2522,31.0,ACTIVE
6461,BIKE,DL08XE9856,17.0,MAINTENANCE
27990,TRUCK,RJ34SY8987,1379.0,MAINTENANCE
7336,TRUCK,DL02NG9687,1038.0,ACTIVE
7546,SCOOTER,DL09BR9508,16.0,ACTIVE
4660,VAN,RJ29DN5033,102.0,ACTIVE
12619,SCOOTER,RJ19FO7027,28.0,ACTIVE
9774,VAN,123,258.0,ACTIVE
2886,VAN,RJ16PR8644,134.0,ACTIVE
13617,,DL04QV4006,20.0,ACTIVE
8915,BIKE,RJ35SV8540,27.0,ACTIVE
23309,VAN,DL01WB6523,-1.0,INACTIVE
13849,VAN,DL07VI2511,164.0,ACTIVE
25469,SCOOTER,DL08TS9730,34.0,INACTIVE
28487,,DL07YP6489,33.0,ACTIVE
2618,BIKE,RJ13LS2821,23.0,MAINTENANCE
458,BIKE,DL07FT1413,20.0,ACTIVE
12620,SCOOTER,DL06WE3883,30.0,ACTIVE
4171,BIKE,XXX000,-1.0,ACTIVE
26697,BIKE,XXX000,28.0,ACTIVE
4820,BIKE,DL04JE2587,27.0,MAINTENANCE
734,SCOOTER,DL01XV8304,38.0,ACTIVE
8930,,RJ20UP5313,35.0,ACTIVE
21901,BIKE,RJ32PB4530,24.0,ACTIVE
6320,SCOOTER,RJ12VC1467,,INACTIVE
5222,TRUCK,RJ21AS2489,1632.0,ACTIVE
10621,SCOOTER,DL07MP9482,30.0,INACTIVE
22980,,RJ10AE1464,23.0,MAINTENANCE
13888,,DL04TO3318,420.0,ACTIVE
15307,BIKE,DL02OU1703,27.0,ACTIVE
27222,SCOOTER,DL08OS5407,33.0,ACTIVE
23925,BIKE,RJ31IT9084,22.0,ACTIVE
27749,VAN,RJ28EQ4721,123.0,ACTIVE
16232,VAN,DL07CS1142,350.0,ACTIVE
6691,SCOOTER,RJ12YG6872,19.0,INACTIVE
2542,SCOOTER,DL07GU7981,31.0,MAINTENANCE
22847,,RJ38BJ1983,36.0,ACTIVE
8740,SCOOTER,DL02ZH3795,29.0,MAINTENANCE
21529,TRUCK,RJ30SB2556,848.0,ACTIVE
16324,BIKE,RJ12MZ4603,13.0,ACTIVE
24342,BIKE,RJ15OI1916,16.0,MAINTENANCE
13315,SCOOTER,RJ32PB4530,22.0,ACTIVE
15233,BIKE,RJ30XW5327,16.0,ACTIVE
24872,SCOOTER,RJ32NM2473,,ACTIVE
2112,BIKE,DL02FX5669,12.0,ACTIVE
3123,BIKE,DL04AI4952,20.0,INACTIVE
22126,SCOOTER,DL06HF2528,25.0,ACTIVE
19407,BIKE,DL04ZG1726,14.0,MAINTENANCE
6092,TRUCK,DL01GO1442,965.0,MAINTENANCE
26995,BIKE,DL04GR3365,17.0,ACTIVE
29835,VAN,DL02SO3715,275.0,ACTIVE
22992,UNKNOWN,DL02KT3412,1340.0,MAINTENANCE
16597,SCOOTER,DL02FX5669,20.0,ACTIVE
25694,TRUCK,DL07PG3051,554.0,INACTIVE
9647,BIKE,DL08CI7006,23.0,ACTIVE
28018,SCOOTER,DL02XQ3872,33.0,ACTIVE
23125,TRUCK,DL03OK5890,1710.0,ACTIVE
25545,BIKE,RJ18RX1325,25.0,MAINTENANCE
12650,TRUCK,RJ26AK3501,1127.0,ACTIVE
28061,BIKE,DL09EK6639,28.0,ACTIVE
27125,VAN,DL09AL2981,333.0,INACTIVE
22112,BIKE,RJ37AL8443,,ACTIVE
97,TRUCK,RJ12MU2705,1516.0,MAINTENANCE
21249,BIKE,RJ23SK2557,13.0,ACTIVE
22682,,RJ23BL2815,32.0,ACTIVE
929,VAN,RJ37TJ9706,337.0,MAINTENANCE
26377,TRUCK,DL08YM1535,1619.0,ACTIVE
9893,TRUCK,RJ14OO4337,1774.0,ACTIVE
10298,SCOOTER,RJ19MN7916,16.0,ACTIVE
25060,TRUCK,RJ29KE7142,1771.0,ACTIVE
16325,TRUCK,RJ22QI9597,1220.0,ACTIVE
9754,BIKE,RJ22HD6385,11.0,
3470,TRUCK,DL03MN5442,587.0,ACTIVE
25979,BIKE,RJ30IL7458,21.0,ACTIVE
13678,TRUCK,RJ19IY2294,911.0,INACTIVE
3580,BIKE,123,,ACTIVE
7828,SCOOTER,RJ31GF1890,21.0,INACTIVE
5536,VAN,DL04GY3485,424.0,ACTIVE
8651,SCOOTER,DL07CT1966,16.0,ACTIVE
22012,BIKE,DL06KG9309,22.0,ACTIVE
29570,TRUCK,RJ22HD6385,1861.0,ACTIVE
16779,SCOOTER,RJ29SV7372,25.0,ACTIVE
29822,TRUCK,DL03UP7731,955.0,ACTIVE
20517,VAN,RJ13QG8722,382.0,ACTIVE
5326,SCOOTER,RJ26AK3501,26.0,ACTIVE
18392,SCOOTER,RJ23RR5239,15.0,ACTIVE
19045,SCOOTER,DL06GI7770,25.0,ACTIVE
4286,SCOOTER,DL05LP2627,-10.0,ACTIVE
6329,,RJ38QW4089,20.0,
18141,BIKE,RJ21PS8870,23.0,ACTIVE
28947,BIKE,RJ30MW1996,18.0,ACTIVE
29796,TRUCK,RJ35WV3282,1646.0,ACTIVE
7566,SCOOTER,DL06YT4625,21.0,MAINTENANCE
14772,SCOOTER,DL05AO8079,34.0,INACTIVE
7894,BIKE,DL09NN5172,29.0,ACTIVE
13178,SCOOTER,RJ19MN7916,29.0,ACTIVE
13762,SCOOTER,RJ22YR1891,26.0,INACTIVE
22807,SCOOTER,DL09GA3887,30.0,ACTIVE
19291,TRUCK,RJ37GZ9423,1723.0,INACTIVE
7666,SCOOTER,DL04FP9365,27.0,ACTIVE
9708,SCOOTER,RJ14HV7603,16.0,ACTIVE
26384,SCOOTER,RJ34FA9194,16.0,INACTIVE
3790,SCOOTER,RJ23YE6144,32.0,ACTIVE
19215,SCOOTER,RJ12UR4949,22.0,INACTIVE
27711,VAN,RJ36OL2306,456.0,INACTIVE
15076,BIKE,RJ34TO8976,26.0,MAINTENANCE
3387,SCOOTER,RJ39WV5164,-1.0,ACTIVE
28553,TRUCK,DL04TD8668,1284.0,INACTIVE
7568,BIKE,DL04UE2898,12.0,ACTIVE
19853,TRUCK,RJ12BJ2817,1880.0,ACTIVE
18732,VAN,RJ33IB1458,279.0,INACTIVE
15341,SCOOTER,DL06KG1316,27.0,INACTIVE
10446,TRUCK,DL07BA1494,812.0,ACTIVE
27068,BIKE,DL08KU6262,11.0,INACTIVE
19715,VAN,DL09OE1190,480.0,MAINTENANCE
2961,SCOOTER,RJ35VW6737,33.0,MAINTENANCE
10766,BIKE,DL08FJ5641,24.0,ACTIVE
25927,VAN,XXX000,456.0,ACTIVE
14685,UNKNOWN,DL01GO1442,17.0,ACTIVE
21838,SCOOTER,DL01LZ4892,22.0,ACTIVE
2326,BIKE,DL09DH1538,16.0,ACTIVE
29634,BIKE,DL08EV9011,24.0,ACTIVE
6995,BIKE,DL02GC7235,22.0,MAINTENANCE
16561,SCOOTER,RJ35KX3594,33.0,ACTIVE
29842,BIKE,INVALID,11.0,ACTIVE
21713,VAN,RJ26LL3044,106.0,ACTIVE
15406,SCOOTER,DL06WE3883,18.0,ACTIVE
29392,VAN,DL01YJ5480,117.0,ACTIVE
4750,SCOOTER,DL03DS7968,15.0,ACTIVE
8319,BIKE,DL06XI5944,11.0,ACTIVE
18082,BIKE,DL07PC7968,25.0,INACTIVE
4585,TRUCK,RJ38QW4089,551.0,ACTIVE
25506,,RJ19GH2451,1989.0,ACTIVE
12632,SCOOTER,DL09SI6071,9999.0,ACTIVE
